Assembly,Host,Country
GCA_011059345.1,Bos taurus,Brazil
GCA_011059355.1,Bos taurus,Brazil
GCA_011059425.1,Bos taurus,Brazil
GCA_011059445.1,Bos taurus,Brazil
GCA_011059455.1,Bos taurus,Chile
GCA_011059535.1,Bos taurus,Chile
GCA_011059585.1,Bos taurus,Chile
GCA_011059605.1,Bos taurus,Chile
GCA_011059645.1,Bos taurus,Chile
GCA_011059745.1,Bos taurus,Chile
GCA_011059865.1,Bos taurus,Chile
GCA_011059875.1,Bos taurus,Suriname
GCA_011059945.1,Bos taurus,Colombia
GCA_011060145.1,Homo sapiens,Argentina
GCA_011060265.1,Homo sapiens,Argentina
GCA_011060335.1,Homo sapiens,Brazil
GCA_011060345.1,Homo sapiens,Brazil
GCA_011060385.1,Homo sapiens,Brazil
GCA_011060395.1,Homo sapiens,Colombia
GCA_011060425.1,Homo sapiens,Brazil
GCA_011060485.1,Homo sapiens,Colombia
GCA_011060965.1,Homo sapiens,Colombia
GCA_011060975.1,Homo sapiens,Chile
GCA_011060985.1,Homo sapiens,Chile
GCA_011061125.1,Homo sapiens,Peru
GCA_011061385.1,Homo sapiens,Peru
GCA_011061445.1,Homo sapiens,Peru
